State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=182,Old Homepage,29.05.2012,"The Minister of Foreign Affairs of the Transdniestrian Moldavian Republic, N. Shtansky condoled with the anniversary of S. V. Bagapsh demise ",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=183,Old Homepage,29.05.2012,"The Minister of Foreign Affairs, Viacheslav Chirikba held a meeting with Silva Gorakova a program manager of “World Vision” in Abkhazia",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=184,Old Homepage,29.05.2012,The International Committee of the Red Cross presented the Ministry of Foreign Affairs a large set of books on international law,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=194,Old Homepage,31.05.2012,"The Head of Foreign Affairs of Abkhazia, Viacheslav Chirikba held a meeting with Antti Turunen, the UN Special Representative at the Geneva discussions",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=197,Old Homepage,31.05.2012,The visit of the Italian delegation of businessmen to Abkhazia has come to an end ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=201,Old Homepage,06.06.2012,The Abkhaz Delegation to Participate in the 20th Round of the Geneva Discussions on Security and Stability in the South Caucasus on June 7-9,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=210,Old Homepage,07.06.2012,"Decision of the United States to recognize so called Georgia’s neutral travel documents, is a mistake, Deputy Foreign Minister of Abkhazia, Irakly Khintba, said",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=211,Old Homepage,07.06.2012,Abkhazia to Continue Cooperation with the Countries of Latin America ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=217,Old Homepage,06.06.2012,The Head of the Abkhaz MFA Viacheslav Chirikba Congratulates D.G. Sanakoev on His Appointment as Minister of Foreign Affairs of the RSO ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=221,Old Homepage,09.06.2012,Statement by the Foreign Ministry of the Republic of Abkhazia,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=223,Old Homepage,11.06.2012,Joint Statement,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=227,Old Homepage,12.06.2012,The first volume of “UN Documents on Abkhazia” was published,NA
